City_ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,-20.3297,-40.2925,82.35,79,0,13.8,BR,1675974057
1,42.6001,-73.9662,44.73,84,100,4.0,US,1675973727
2,65.282,-126.8329,-9.36,70,20,5.75,CA,1675974059
3,43.1458,21.2686,26.65,68,13,1.59,RS,1675974061
4,43.2128,-75.4557,42.87,93,100,11.5,US,1675974061
5,-27.6146,-48.5012,78.03,83,40,4.61,BR,1675974061
6,29.0605,-13.564,59.22,63,20,4.61,ES,1675974063
7,55.756,-4.8556,45.18,85,100,4.0,GB,1675974064
8,-33.9258,18.4232,75.9,71,0,12.66,ZA,1675973650
9,-45.8742,170.5036,53.31,62,98,2.17,NZ,1675973592
10,55.7435,-97.8558,1.56,66,0,4.61,CA,1675973716
11,-23.1203,-134.9692,80.06,74,66,20.11,PF,1675973744
12,14.8961,-24.4956,68.67,82,99,10.31,CV,1675973998
13,-34.0527,23.3716,68.81,91,13,10.69,ZA,1675974065
14,-39.2,173.8833,57.69,65,28,4.56,NZ,1675974065
15,34.6391,-120.4579,78.01,24,0,6.91,US,1675973810
16,-8.8368,13.2343,80.6,74,20,9.22,AO,1675974066
17,22.0752,-159.319,78.78,86,75,25.32,US,1675974067
18,65.5833,-171.0,-18.74,95,94,3.94,RU,1675974067
19,3.0707,172.7902,80.51,83,89,19.39,KI,1675973747
20,47.6167,-57.6152,18.73,71,57,23.87,CA,1675974068
21,39.1834,-84.5333,70.43,45,0,34.52,US,1675973726
22,77.484,-69.3632,-9.9,58,28,9.13,GL,1675973832
23,-46.6,168.3333,46.8,71,75,9.53,NZ,1675973614
24,57.79,-152.4072,29.71,43,0,4.61,US,1675973902
25,71.9167,114.0833,-46.48,98,57,6.76,RU,1675974069
26,31.6682,20.2521,54.54,52,0,11.61,LY,1675974069
27,-30.1811,-50.2056,79.0,74,45,11.59,BR,1675974070
28,-34.5322,20.0403,69.64,81,15,14.03,ZA,1675974071
29,-0.7193,8.7815,82.36,89,40,3.44,GA,1675974072
30,65.8167,87.9833,-2.87,96,100,11.36,RU,1675974072
31,42.097,-79.2353,55.02,83,100,8.05,US,1675973745
32,-9.8,-139.0333,78.98,77,15,21.23,PF,1675973745
33,35.7333,140.8333,36.21,58,100,13.09,JP,1675974073
34,-33.918,25.5701,72.1,88,20,0.0,ZA,1675974073
35,-3.7508,103.6372,70.47,82,50,1.77,ID,1675974074
36,64.5011,-165.4064,-2.13,78,100,0.0,US,1675974074
37,47.4235,-120.3103,46.78,70,100,1.01,US,1675973988
38,-0.3167,102.35,72.88,98,98,2.21,ID,1675974075
39,70.6333,147.9167,-24.18,98,100,5.61,RU,1675973737
40,13.2167,-59.5167,81.21,69,75,19.57,BB,1675973999
41,-13.8483,136.4192,82.02,80,100,10.42,AU,1675974076
42,58.6978,81.4825,4.17,93,100,7.56,RU,1675974077
43,-42.8794,147.3294,58.26,96,75,0.0,AU,1675973827
44,36.6777,-121.6555,71.8,46,0,12.66,US,1675973848
45,-0.7393,-90.3518,84.16,87,74,11.01,EC,1675973829
46,41.5072,20.0851,31.15,54,100,6.87,AL,1675974138
47,67.4667,78.7,-7.17,98,41,10.04,RU,1675974067
48,-9.4333,159.95,78.58,89,100,5.06,SB,1675974139
49,62.456,-114.3525,-3.44,84,75,6.91,CA,1675973702
50,47.6666,-52.7314,26.38,85,75,10.36,CA,1675973869
51,12.5898,6.5779,77.22,11,68,9.28,NG,1675974140
